,id,member_en,scenario_id,created_at,updated_at,member_ko
0,1,Alex,1,2017-03-02 08:22:27,2017-03-02 08:22:27,
1,2,Natasha,1,2017-03-02 08:22:27,2017-03-02 08:22:27,
2,3,Anika,1,2017-03-02 08:22:27,2017-03-02 08:22:27,
3,4,Lionel,1,2017-03-02 08:22:27,2017-03-02 08:22:27,
4,5,Anna,2,2017-03-02 08:22:27,2017-03-02 08:22:27,
5,6,Jose,2,2017-03-02 08:22:27,2017-03-02 08:22:27,
6,7,Sam,2,2017-03-02 08:22:27,2017-03-02 08:22:27,
7,8,Kim,2,2017-03-02 08:22:27,2017-03-02 08:22:27,
8,9,John,3,2017-03-02 08:22:28,2017-03-02 08:22:28,
9,10,Marie,3,2017-03-02 08:22:28,2017-03-02 08:22:28,
10,11,Hannah,3,2017-03-02 08:22:28,2017-03-02 08:22:28,
11,12,Iain,3,2017-03-02 08:22:28,2017-03-02 08:22:28,
